<titre>|<auteurs>|<editeur>|<annee/copyright>|<isbn-10>|<isbn-13>|<lang>|<cote>
Les Femmes en Blanc (5) J'étais infirme hier|Bercovici, Cauvin|Dupuis|2004|2800136162|9782800136165|fr|
Les mondes d'Aldebaran - Aldebaran - T1 La catastrophe|Léo|Dargaud|||9782205049671|fr|
Les mondes d'Aldebaran - Aldebaran - T1 La catastrophe|Léo|Dargaud|||9782205049671|fr|
Les mondes d'Aldebaran - Aldebaran - T2 La blonde|Léo|Dargaud|||9782205049688|fr|
Les mondes d'Aldebaran - Aldebaran - T3 La photo|Léo|Dargaud|||9782205049695|fr|
Les mondes d'Aldebaran - Aldebaran - T4 La créature|Léo|Dargaud|||9782205049718|fr|
Les mondes d'Aldebaran - Aldebaran - T4 Le groupe|Léo|Dargaud|||9782205049701|fr|
Les mondes d'Aldebaran - Antarès (01) Episode 1|Léo|Dargaud|||9782205058895|fr|
Les mondes d'Aldebaran - Antarès (02) Episode 2|Léo|Dargaud|||9782205061857|fr|
Les mondes d'Aldebaran - Antarès (03) Episode 3|Léo|Dargaud|||9782205063714|fr|
Les mondes d'Aldebaran - Antarès (04) Episode 4|Léo|Dargaud|||9782205067651|fr|
Les mondes d'Aldebaran - Antarès (05) Episode 5|Léo|Dargaud|2013||9782205071276|fr|
Les mondes d'Aldebaran - Betelgeuse - T1 La planète|Léo|Dargaud|||9782205049022|fr|
Les mondes d'Aldebaran - Betelgeuse - T2 Les survivants|Léo|Dargaud|||9782205049879|fr|
Les mondes d'Aldebaran - Betelgeuse - T3 L'expédition|Léo|Dargaud|||9782205052312|fr|
Les mondes d'Aldebaran - Betelgeuse - T4 Les cavernes|Léo|Dargaud|||9782205054750|fr|
Les mondes d'Aldebaran - Betelgeuse - T5 L'autre|Léo|Dargaud|||9782205056365|fr|
Les mondes d'Aldebaran - Survivants - Episode 1 Anomalies Quantiques|Léo|Dargaud|||9782205065244|fr|
Les mondes d'Aldebaran - Survivants - Episode 2 Anomalies Quantiques|Léo|Dargaud|2012||9782205069969|fr|
Les naufragés du temps (1) L'étoile endormie|Jean-Claude Forest, Paul Gillon|Glénat|2008||9782723461474|fr|
Les p'tits Diables - T2 C'est pas nous !|Dutto|Soleil|||9782845658257|fr|
Les p'tits Diables - T4 Attention, Frère stupide !|Dutto|Soleil|||9782849462461|fr|
Les petits ruisseaux|Rabaté|Futuropolis|||9782754800167|fr|
Les Superhéros injustement méconnus|Manu Larcenet|Fluide Glacial|||9782858152919|fr|
Minimal|Manu Larcenet|Fluide Glacial|||9782858154722|fr|
